model_key,family,params_b,tuning,tier,conflict_type,prompt_style,score_mode,n,mean,ci_low,ci_high,positive_fraction,t,p
olmo_1b_base,OLMo,1.0,base,anchor_1b2b,polysemy_entity_remapping,definition_scope,mean_logprob,30.0,1.9943576799498666,1.527897085381879,2.4759983733627537,1.0,8.056054202614629,6.954481285899108e-09
olmo_1b_base,OLMo,1.0,base,anchor_1b2b,polysemy_entity_remapping,game_rule,sum_logprob,30.0,2.8934028029441836,2.348029688497385,3.421618866489994,1.0,10.481479488163208,2.246862777925691e-11
olmo_1b_base,OLMo,1.0,base,anchor_1b2b,polysemy_entity_remapping,game_rule,mean_logprob,30.0,2.8934028029441836,2.348029688497385,3.421618866489994,1.0,10.481479488163208,2.246862777925691e-11
olmo_1b_base,OLMo,1.0,base,anchor_1b2b,polysemy_entity_remapping,glossary,sum_logprob,30.0,2.548914930555556,2.0500640338659286,3.03979817920261,1.0,9.780258641281492,1.0899408189002663e-10
olmo_1b_base,OLMo,1.0,base,anchor_1b2b,polysemy_entity_remapping,glossary,mean_logprob,30.0,2.548914930555556,2.0500640338659286,3.03979817920261,1.0,9.780258641281492,1.0899408189002663e-10
olmo_1b_base,OLMo,1.0,base,anchor_1b2b,polysemy_entity_remapping,technical_document,sum_logprob,30.0,2.3519531461927623,1.8945225620269772,2.803687164054977,1.0,9.723710555447903,1.2413924108801752e-10
olmo_1b_base,OLMo,1.0,base,anchor_1b2b,polysemy_entity_remapping,technical_document,mean_logprob,30.0,2.3519531461927623,1.8945225620269772,2.803687164054977,1.0,9.723710555447903,1.2413924108801752e-10
olmo_1b_base,OLMo,1.0,base,anchor_1b2b,domain_definition_remapping,definition_scope,sum_logprob,30.0,1.5457465913560653,1.141434462467829,1.9808463438351944,0.9666666666666667,7.063923396080228,9.03455840248282e-08
olmo_1b_base,OLMo,1.0,base,anchor_1b2b,domain_definition_remapping,definition_scope,mean_logprob,30.0,1.5457465913560653,1.141434462467829,1.9808463438351944,0.9666666666666667,7.063923396080228,9.03455840248282e-08
olmo_1b_base,OLMo,1.0,base,anchor_1b2b,domain_definition_remapping,game_rule,sum_logprob,30.0,2.934201401472092,2.4081510963870425,3.4883767243723076,0.9666666666666667,10.362254214991362,2.925899704948873e-11
olmo_1b_base,OLMo,1.0,base,anchor_1b2b,domain_definition_remapping,game_rule,mean_logprob,30.0,2.934201401472092,2.4081510963870425,3.4883767243723076,0.9666666666666667,10.362254214991362,2.925899704948873e-11
olmo_1b_base,OLMo,1.0,base,anchor_1b2b,domain_definition_remapping,glossary,sum_logprob,30.0,2.133506965637207,1.6942046907213,2.599181890487671,0.9666666666666667,8.970532323027843,7.309285144303467e-10
olmo_1b_base,OLMo,1.0,base,anchor_1b2b,domain_definition_remapping,glossary,mean_logprob,30.0,2.133506965637207,1.6942046907213,2.599181890487671,0.9666666666666667,8.970532323027843,7.309285144303467e-10
olmo_1b_base,OLMo,1.0,base,anchor_1b2b,domain_definition_remapping,technical_document,sum_logprob,30.0,1.6152343697018094,1.2020008781883453,2.045013012223773,0.9333333333333333,7.42658868659763,3.489965313510431e-08
olmo_1b_base,OLMo,1.0,base,anchor_1b2b,domain_definition_remapping,technical_document,mean_logprob,30.0,1.6152343697018094,1.2020008781883453,2.045013012223773,0.9333333333333333,7.42658868659763,3.489965313510431e-08
qwen25_7b_base,Qwen,7.0,base,large_7b,antonym_remapping,definition_scope,sum_logprob,80.0,1.5011994216472277,1.1721226984550592,1.8301150284934131,0.825,8.993102140338303,1.003425601588917e-13
qwen25_7b_base,Qwen,7.0,base,large_7b,antonym_remapping,definition_scope,mean_logprob,80.0,1.3925873827156061,1.0904321834039972,1.6965038144630913,0.8125,8.946437458745155,1.2376958109965525e-13
qwen25_7b_base,Qwen,7.0,base,large_7b,antonym_remapping,game_rule,sum_logprob,80.0,3.911805916626629,3.4318893265979638,4.4262861205310315,0.9625,14.991834959762755,8.163604736845921e-25
qwen25_7b_base,Qwen,7.0,base,large_7b,antonym_remapping,game_rule,mean_logprob,80.0,3.7085812733880323,3.242489996122863,4.219179445211139,0.9625,14.475848244369327,6.26248265289209e-24
qwen25_7b_base,Qwen,7.0,base,large_7b,antonym_remapping,glossary,sum_logprob,80.0,1.5791550853495815,1.3042164222838073,1.8778355588391422,0.925,10.941211463349504,1.7175429330434233e-17
qwen25_7b_base,Qwen,7.0,base,large_7b,antonym_remapping,glossary,mean_logprob,80.0,1.4817975886519383,1.243741632732664,1.7226986552644747,0.9125,12.100963158596201,1.1340959088739682e-19
qwen25_7b_base,Qwen,7.0,base,large_7b,antonym_remapping,technical_document,sum_logprob,80.0,1.9607706520779176,1.6278727205333055,2.3068239285475287,0.9125,11.254286436800385,4.371822203374025e-18
qwen25_7b_base,Qwen,7.0,base,large_7b,antonym_remapping,technical_document,mean_logprob,80.0,1.8647202204207942,1.5508003749079822,2.186218866931898,0.9125,11.380238844574103,2.5276841993479512e-18
qwen25_7b_base,Qwen,7.0,base,large_7b,arbitrary_semantic_remapping,definition_scope,sum_logprob,36.0,3.848103965874072,3.298629728511528,4.382095075509063,1.0,13.530240630804574,1.8131305149028394e-15
qwen25_7b_base,Qwen,7.0,base,large_7b,arbitrary_semantic_remapping,definition_scope,mean_logprob,36.0,3.848103965874072,3.298629728511528,4.382095075509063,1.0,13.530240630804574,1.8131305149028394e-15
