model_key,family,params_b,tuning,tier,prompt_style,score_mode,n,mean,ci_low,ci_high,positive_fraction,t,p
qwen25_15b_instruct,Qwen,1.5,instruct,anchor_1b2b,technical_document,sum_logprob,176.0,2.7480341340184293,2.408622187532036,3.1017012974621334,0.875,15.156539154101523,1.0981476275551611e-33
qwen25_15b_instruct,Qwen,1.5,instruct,anchor_1b2b,technical_document,mean_logprob,176.0,2.6839326046855523,2.368918696496181,3.0172100183762423,0.875,15.985445421313385,4.8034269354914083e-36
gemma2_2b_base,Gemma,2.0,base,anchor_1b2b,definition_scope,sum_logprob,176.0,1.2367945861522898,0.7399816405140991,1.7389414897936424,0.6590909090909091,4.932375549982387,1.8789466440406596e-06
gemma2_2b_base,Gemma,2.0,base,anchor_1b2b,definition_scope,mean_logprob,176.0,1.1885627394993648,0.6860851902112534,1.6880038595158664,0.6477272727272727,4.716070152594887,4.894317872500745e-06
gemma2_2b_base,Gemma,2.0,base,anchor_1b2b,game_rule,sum_logprob,176.0,3.4911865811569216,2.9173058855290894,4.052544968731166,0.8181818181818182,11.878772915299603,3.0374419197521733e-24
gemma2_2b_base,Gemma,2.0,base,anchor_1b2b,game_rule,mean_logprob,176.0,3.4549323564225976,2.8846042783738635,4.018338853521555,0.8125,11.652305386351053,1.3587936264081457e-23
gemma2_2b_base,Gemma,2.0,base,anchor_1b2b,glossary,sum_logprob,176.0,1.5087610187897966,1.055338823813663,1.9627250874346251,0.7840909090909091,6.530896289850326,6.849408663616031e-10
gemma2_2b_base,Gemma,2.0,base,anchor_1b2b,glossary,mean_logprob,176.0,1.4606814769654057,1.0171944286823307,1.9066765515045545,0.7784090909090909,6.378835905249392,1.54089416425615e-09
gemma2_2b_base,Gemma,2.0,base,anchor_1b2b,technical_document,sum_logprob,176.0,0.433578730737226,-0.08378284238455251,0.952638544309814,0.5738636363636364,1.6231582149705333,0.10635558697505144
gemma2_2b_base,Gemma,2.0,base,anchor_1b2b,technical_document,mean_logprob,176.0,0.38432739132126276,-0.11830189059943554,0.8975507091853422,0.5738636363636364,1.4503091335254212,0.14876227486001628
gemma2_2b_instruct,Gemma,2.0,instruct,anchor_1b2b,definition_scope,sum_logprob,176.0,2.508543772240239,2.1158231916317938,2.924711476720666,0.8181818181818182,11.779649650875836,5.853949135536103e-24
gemma2_2b_instruct,Gemma,2.0,instruct,anchor_1b2b,definition_scope,mean_logprob,176.0,2.5035925135078454,2.1080646865012236,2.921233333869029,0.8181818181818182,11.811901988437402,4.728917230309661e-24
gemma2_2b_instruct,Gemma,2.0,instruct,anchor_1b2b,game_rule,sum_logprob,176.0,2.6918765375957068,1.5565038814370276,3.887535072390319,0.5227272727272727,4.447409666945429,1.540814321293449e-05
gemma2_2b_instruct,Gemma,2.0,instruct,anchor_1b2b,game_rule,mean_logprob,176.0,2.6960470643431713,1.5699913096004148,3.8935124150526,0.5227272727272727,4.455464510252255,1.4897737783381128e-05
gemma2_2b_instruct,Gemma,2.0,instruct,anchor_1b2b,glossary,sum_logprob,176.0,3.3874001400275144,2.810519834386816,3.980098659984814,0.8295454545454546,11.224264793819554,2.284733777310745e-22
gemma2_2b_instruct,Gemma,2.0,instruct,anchor_1b2b,glossary,mean_logprob,176.0,3.376101983824617,2.799436435400055,3.9647986700149307,0.8295454545454546,11.19988080074622,2.6820616850960064e-22
gemma2_2b_instruct,Gemma,2.0,instruct,anchor_1b2b,technical_document,sum_logprob,176.0,1.6355089206760267,1.3814072422355188,1.8980578204940879,0.8409090909090909,12.166231263028337,4.518453146776603e-25
gemma2_2b_instruct,Gemma,2.0,instruct,anchor_1b2b,technical_document,mean_logprob,176.0,1.6253148649313074,1.374576907808351,1.889774655943161,0.8295454545454546,12.016025707735334,1.223477109357153e-24
olmo_1b_base,OLMo,1.0,base,anchor_1b2b,definition_scope,sum_logprob,176.0,2.0733257706851322,1.838755247009764,2.3106790490293174,0.9375,17.11398490089978,3.2243346248516766e-39
olmo_1b_base,OLMo,1.0,base,anchor_1b2b,definition_scope,mean_logprob,176.0,1.933399446394546,1.7093068649025938,2.1634613955628317,0.9318181818181818,16.69049768329792,4.935719756267405e-38
olmo_1b_base,OLMo,1.0,base,anchor_1b2b,game_rule,sum_logprob,176.0,2.4096699112110262,2.1853035169560315,2.652536160335285,0.9488636363636364,20.286835505254963,7.842835631250884e-48
olmo_1b_base,OLMo,1.0,base,anchor_1b2b,game_rule,mean_logprob,176.0,2.271887494121028,2.04085949250235,2.512140476102749,0.9431818181818182,18.774339158523166,8.694280001587507e-44
olmo_1b_base,OLMo,1.0,base,anchor_1b2b,glossary,sum_logprob,176.0,2.2888955713728634,2.043223308125573,2.526504338222472,0.9431818181818182,18.368395536521792,1.1077770865772847e-42
olmo_1b_base,OLMo,1.0,base,anchor_1b2b,glossary,mean_logprob,176.0,2.1836585176906094,1.9378429567576978,2.4155426275015355,0.9318181818181818,17.727596700513807,6.383749487163421e-41
olmo_1b_base,OLMo,1.0,base,anchor_1b2b,technical_document,sum_logprob,176.0,2.658060574833557,2.395601697315473,2.91665919569069,0.9715909090909091,19.704938853207523,2.7329355632600882e-46
olmo_1b_base,OLMo,1.0,base,anchor_1b2b,technical_document,mean_logprob,176.0,2.4844304293869253,2.235635582072201,2.7296857844868776,0.9659090909090909,19.513327579779855,8.877842920853055e-46
qwen25_7b_base,Qwen,7.0,base,large_7b,definition_scope,sum_logprob,176.0,2.3085252639755325,2.048867830947066,2.5702147923217074,0.8920454545454546,17.03554877756482,5.3376010909802124e-39
