model_key,scan_type,component_type,layer,head,name,recovery,target_delta,distractor_delta,is_nondegenerate_component
gemma2_2b_instruct,reader_final_position,attn_head,20,5,L20H5,-0.022729761417793436,-0.07333441823720932,0.009881794452667236,True
gemma2_2b_instruct,reader_final_position,attn_head,20,6,L20H6,0.10186894904965885,0.3080868721008301,-0.06486725807189941,True
gemma2_2b_instruct,reader_final_position,attn_head,20,7,L20H7,-0.13372745353215604,-0.3457060158252716,0.14388538897037506,True
gemma2_2b_instruct,reader_final_position,mlp,20,-1,L20MLP,-0.0007084977677370708,-0.23867882788181305,-0.23608510196208954,True
gemma2_2b_instruct,reader_final_position,attn_head,21,0,L21H0,0.08677308664657336,0.1785191148519516,-0.13916724920272827,True
gemma2_2b_instruct,reader_final_position,attn_head,21,1,L21H1,-0.012413884325359286,0.14674533903598785,0.19219382107257843,True
gemma2_2b_instruct,reader_final_position,attn_head,21,2,L21H2,6.592191370687621e-05,-0.009240797720849514,-0.009482324123382568,True
gemma2_2b_instruct,reader_final_position,attn_head,21,3,L21H3,-0.04312407670305847,-0.1685553640127182,-0.010673267766833305,True
gemma2_2b_instruct,reader_final_position,attn_head,21,4,L21H4,-0.005678997036877099,0.012714079581201077,0.033505331724882126,True
gemma2_2b_instruct,reader_final_position,attn_head,21,5,L21H5,0.004395775726374389,-0.05140042304992676,-0.0674939975142479,True
gemma2_2b_instruct,reader_final_position,attn_head,21,6,L21H6,-0.023458893507376774,-0.11223415285348892,-0.026348527520895004,True
gemma2_2b_instruct,reader_final_position,attn_head,21,7,L21H7,0.02351377261674129,0.04026368632912636,-0.045823048800230026,True
gemma2_2b_instruct,reader_final_position,mlp,21,-1,L21MLP,0.08774821185529882,0.49988821148872375,0.1786317080259323,True
gemma2_2b_instruct,reader_final_position,attn_head,22,0,L22H0,-0.1833751669090339,-0.06343106180429459,0.6079264283180237,True
gemma2_2b_instruct,reader_final_position,attn_head,22,1,L22H1,0.623979324967697,0.4989362061023712,-1.7855242490768433,True
gemma2_2b_instruct,reader_final_position,attn_head,22,2,L22H2,0.001474530685815806,-0.003984689712524414,-0.009383218362927437,True
gemma2_2b_instruct,reader_final_position,attn_head,22,3,L22H3,-0.008545195511897277,-0.01141353975981474,0.01987128145992756,True
gemma2_2b_instruct,reader_final_position,attn_head,22,4,L22H4,0.014892044981909812,0.0871119499206543,0.03259022906422615,True
gemma2_2b_instruct,reader_final_position,attn_head,22,5,L22H5,-0.09392084643439495,-0.3096871078014374,0.0341678187251091,True
gemma2_2b_instruct,reader_final_position,attn_head,22,6,L22H6,-0.02371690625854109,-0.10020572692155838,-0.01337556354701519,True
gemma2_2b_instruct,reader_final_position,attn_head,22,7,L22H7,0.026254718525406236,0.01667090877890587,-0.07945073395967484,True
gemma2_2b_instruct,reader_final_position,mlp,22,-1,L22MLP,-0.00820160335285964,-0.9661788940429688,-0.9361520409584045,True
gemma2_2b_instruct,reader_final_position,attn_head,23,0,L23H0,-0.0575445046295889,-0.27284082770347595,-0.06216378137469292,True
gemma2_2b_instruct,reader_final_position,attn_head,23,1,L23H1,0.025338026218175897,0.31247398257255554,0.21970827877521515,True
