score_mode,regression,term,coef,se,p,ci_low,ci_high,n
sum_logprob,type_interactions,C(family)[T.Qwen],0.14329382036600638,0.11236635672550196,0.20222510210435052,-0.07694019188995754,0.3635278326219703,7744
sum_logprob,type_interactions,lexical_advantage,0.02626905837435401,0.022103385584482035,0.23465100528765293,-0.01705278130763259,0.06959089805634061,7744
sum_logprob,type_interactions,lexical_advantage:C(conflict_type)[T.arbitrary_semantic_remapping],0.20184817045543924,0.03844113115443115,1.5140840873832746e-07,0.12650493786777356,0.2771914030431049,7744
sum_logprob,type_interactions,lexical_advantage:C(conflict_type)[T.domain_definition_remapping],0.1851476304504769,0.04884331101018823,0.00015025685906967247,0.08941649998481929,0.2808787609161345,7744
sum_logprob,type_interactions,lexical_advantage:C(conflict_type)[T.polysemy_entity_remapping],0.15011798626824666,0.037346777585772324,5.830446057710932e-05,0.07691964726150514,0.22331632527498818,7744
sum_logprob,type_interactions,answer_prior,0.14433364657333733,0.02495272694573461,7.282204523129531e-09,0.09542720044363535,0.19324009270303932,7744
sum_logprob,type_interactions,target_minus_distractor_tokens,-0.13929454747751732,0.21293885808594293,0.5130133756300026,-0.5566470402350512,0.2780579452800165,7744
sum_logprob,type_interactions,target_minus_distractor_zipf,0.6517119841869861,0.11176325540251562,5.503581715618164e-09,0.43266002880310384,0.8707639395708683,7744
sum_logprob,type_interactions,is_instruct,-0.581645784534128,0.13787521760422772,2.4578131597473655e-05,-0.8518762453990372,-0.3114153236692188,7744
sum_logprob,type_interactions,log_params_b,-0.22350496406377912,0.06522924292307311,0.0006115185822006478,-0.3513519309318166,-0.09565799719574161,7744
sum_logprob,prompt_interactions,Intercept,1.0314431736556462,0.1830821037372999,1.7630816282842382e-08,0.6726088441167124,1.39027750319458,7744
sum_logprob,prompt_interactions,C(conflict_type)[T.arbitrary_semantic_remapping],2.7427076205072285,0.2524183935639786,1.678933157917686e-27,2.2479766600863735,3.2374385809280835,7744
sum_logprob,prompt_interactions,C(conflict_type)[T.domain_definition_remapping],1.6291404746789377,0.26449034176362984,7.295370415181028e-10,1.110748930563533,2.1475320187943425,7744
sum_logprob,prompt_interactions,C(conflict_type)[T.polysemy_entity_remapping],1.657166224260829,0.230173610083072,6.037348352995832e-13,1.2060342383064424,2.1082982102152155,7744
sum_logprob,prompt_interactions,C(prompt_style)[T.game_rule],0.036967129983908664,0.15985622811045835,0.8171187549266676,-0.2763453198170091,0.35027957978482643,7744
sum_logprob,prompt_interactions,C(prompt_style)[T.glossary],-0.07214185848399698,0.08982768634670929,0.4219089366616131,-0.24820088853810754,0.10391717157011357,7744
sum_logprob,prompt_interactions,C(prompt_style)[T.technical_document],0.044740599202530235,0.08575308679801633,0.6018531267280898,-0.12333236248471896,0.21281356088977943,7744
sum_logprob,prompt_interactions,C(family)[T.Mistral],0.1422661916563306,0.12453030888462652,0.2532785604395048,-0.10180872874118568,0.38634111205384686,7744
sum_logprob,prompt_interactions,C(family)[T.OLMo],-0.4333928793994245,0.1530864749742884,0.004639791770005632,-0.733436856869222,-0.13334890192962695,7744
sum_logprob,prompt_interactions,C(family)[T.Qwen],0.022579203932538483,0.10581804961852276,0.8310324326097865,-0.18482036223403853,0.2299787700991155,7744
sum_logprob,prompt_interactions,C(conflict_type)[T.arbitrary_semantic_remapping]:C(prompt_style)[T.game_rule],2.4933254680730634,0.31858961050411694,5.0309500560561785e-15,1.8689013056363506,3.1177496305097763,7744
sum_logprob,prompt_interactions,C(conflict_type)[T.domain_definition_remapping]:C(prompt_style)[T.game_rule],1.8641059240148357,0.38583056706256225,1.3556903338653208e-06,1.1078919084375476,2.6203199395921235,7744
sum_logprob,prompt_interactions,C(conflict_type)[T.polysemy_entity_remapping]:C(prompt_style)[T.game_rule],2.057223887547238,0.36217948911579195,1.3459825856868537e-08,1.347365132941169,2.767082642153307,7744
sum_logprob,prompt_interactions,C(conflict_type)[T.arbitrary_semantic_remapping]:C(prompt_style)[T.glossary],0.2940451396278544,0.1385936789788282,0.03386843754543824,0.022406520344445124,0.5656837589112637,7744
sum_logprob,prompt_interactions,C(conflict_type)[T.domain_definition_remapping]:C(prompt_style)[T.glossary],0.409325691274223,0.19121836805475917,0.03230476709731946,0.034544576704370666,0.7841068058440754,7744
sum_logprob,prompt_interactions,C(conflict_type)[T.polysemy_entity_remapping]:C(prompt_style)[T.glossary],0.36124849858859237,0.19677546998474288,0.06638115841525372,-0.024424335622446114,0.7469213327996309,7744
sum_logprob,prompt_interactions,C(conflict_type)[T.arbitrary_semantic_remapping]:C(prompt_style)[T.technical_document],-0.2848819811968032,0.1597010919134605,0.07444886842255936,-0.5978903696389066,0.028126407245300244,7744
sum_logprob,prompt_interactions,C(conflict_type)[T.domain_definition_remapping]:C(prompt_style)[T.technical_document],-0.6739487536271913,0.14064260042973445,1.6518888879860864e-06,-0.9496031851615283,-0.39829432209285426,7744
sum_logprob,prompt_interactions,C(conflict_type)[T.polysemy_entity_remapping]:C(prompt_style)[T.technical_document],-0.3190733746452401,0.18107476780785745,0.07805097942398534,-0.6739733980575935,0.03582664876711328,7744
sum_logprob,prompt_interactions,lexical_advantage,0.11412558588205379,0.018312908347034154,4.605911729445191e-10,0.07823294506968392,0.15001822669442366,7744
sum_logprob,prompt_interactions,answer_prior,0.15856735772147174,0.024384277408474805,7.881109786784529e-11,0.11077505221182743,0.20635966323111604,7744
sum_logprob,prompt_interactions,target_minus_distractor_tokens,-0.0786002140961763,0.19704823833670915,0.6899755954541692,-0.464807664453191,0.3076072362608384,7744
sum_logprob,prompt_interactions,target_minus_distractor_zipf,0.6451004035665934,0.11183793544973519,8.013618476706777e-09,0.425902077979797,0.8642987291533897,7744
sum_logprob,prompt_interactions,is_instruct,-0.7351917160972377,0.1340097316665323,4.1088826045802945e-08,-0.9978459637415178,-0.4725374684529576,7744
sum_logprob,prompt_interactions,log_params_b,-0.31731580897270184,0.06278958740879301,4.3347415021795147e-07,-0.4403811388980658,-0.1942504790473379,7744
mean_logprob,main_controls,Intercept,0.6957642026898079,0.1854684155169899,0.0001758574972927776,0.33225278800679797,1.0592756173728177,7744
mean_logprob,main_controls,C(conflict_type)[T.arbitrary_semantic_remapping],3.3744857938301607,0.2587523184602955,7.116279169861278e-39,2.867340568731743,3.8816310189285783,7744
mean_logprob,main_controls,C(conflict_type)[T.domain_definition_remapping],2.078956043606597,0.29675586479684923,2.459109158221938e-12,1.4973252364037346,2.660586850809459,7744
mean_logprob,main_controls,C(conflict_type)[T.polysemy_entity_remapping],2.216396417832753,0.22779237887408232,2.2482015743781687e-22,1.769931559286849,2.6628612763786568,7744
mean_logprob,main_controls,C(prompt_style)[T.game_rule],1.172286454941939,0.14900979476905984,3.627327856396759e-15,0.8802326238508766,1.4643402860330013,7744
mean_logprob,main_controls,C(prompt_style)[T.glossary],0.14846945287820565,0.062231291383153,0.017043477299706896,0.026498363055807952,0.27044054270060336,7744
mean_logprob,main_controls,C(prompt_style)[T.technical_document],-0.18863992980810138,0.05893757635286071,0.0013710686921852616,-0.3041554567957879,-0.07312440282041482,7744
mean_logprob,main_controls,C(family)[T.Mistral],-0.0656903483239335,0.1078520200103536,0.5424723969533681,-0.2770764232041198,0.1456957265562528,7744
mean_logprob,main_controls,C(family)[T.OLMo],-0.4644837928526363,0.14880870125737455,0.0018002494778537837,-0.7561434879032707,-0.17282409780200192,7744
mean_logprob,main_controls,C(family)[T.Qwen],0.014540880605244583,0.10464695336690248,0.8894882520473044,-0.19056337908572682,0.21964514029621598,7744
mean_logprob,main_controls,lexical_advantage,0.11237575051897811,0.0183411775671056,8.957124201575274e-10,0.07642770305339716,0.14832379798455905,7744
mean_logprob,main_controls,answer_prior,0.14279586557195148,0.021369308329604993,2.3524066317156968e-11,0.1009127908713939,0.18467894027250906,7744
mean_logprob,main_controls,target_minus_distractor_tokens,0.2239625650385334,0.18475709324987785,0.2254357971135037,-0.13815468361953553,0.5860798136966023,7744
mean_logprob,main_controls,target_minus_distractor_zipf,0.6237791830982875,0.10745705331788712,6.439822730493119e-09,0.41316722871042844,0.8343911374861466,7744
mean_logprob,main_controls,is_instruct,-0.7362853917384715,0.12967064783332893,1.361838260370193e-08,-0.990435191343773,-0.48213559213317003,7744
